uid,models,size,learning_rate,epochs,batch_size,optimizer,accuracy
560065e36c867714,resnet50,128,0.001,100,16,adam,0.6
06aa6dc9fbcf5e9b,resnet50,128,0.001,100,16,sgd,0.8
1639702cfd19779b,resnet50,128,0.001,100,32,adam,0.5
3b99a13756d84bc6,resnet50,128,0.001,100,32,sgd,0.6
dcb32bf4a41e92c4,resnet50,128,0.001,100,64,adam,0.8
942e5ab0eb3d83f8,resnet50,128,0.001,100,64,sgd,0.6
fb0d22e14c11fac9,resnet50,128,0.001,200,16,adam,0.8
bd7ed4218f6321b2,resnet50,128,0.001,200,16,sgd,0.5
67bcd93e74b2c455,resnet50,128,0.001,200,32,adam,0.9
bc3706bbbaef960b,resnet50,128,0.001,200,32,sgd,0.8
e162a54156078b64,resnet50,128,0.001,200,64,adam,0.6
6854e47b24a49709,resnet50,128,0.001,200,64,sgd,0.6
8ede27a7081afd68,resnet50,128,0.001,300,16,adam,0.6
e3bc22e1c7bb700c,resnet50,128,0.001,300,16,sgd,0.8
484036421caeba76,resnet50,128,0.001,300,32,adam,1.0
14fbffcb66b263db,resnet50,128,0.001,300,32,sgd,1.0
644811e0c50a4b87,resnet50,128,0.001,300,64,adam,1.0
fd7ead0b01f87596,resnet50,128,0.001,300,64,sgd,0.8
a8c8965561e78bf0,resnet50,128,0.01,100,16,adam,0.8
298ddb3074e995b0,resnet50,128,0.01,100,16,sgd,0.8
d6c8ef3714c54cb5,resnet50,128,0.01,100,32,adam,0.8
c0d6f1be2e7a9465,resnet50,128,0.01,100,32,sgd,0.8
ba2e6d42a56fe60e,resnet50,128,0.01,100,64,adam,0.9
8c04bf9bc6fc4fad,resnet50,128,0.01,100,64,sgd,0.7
bb07ece112e227be,resnet50,128,0.01,200,16,adam,0.6
ddfc6109d9fa06e5,resnet50,128,0.01,200,16,sgd,0.6
7f4c03cb3d4ccc20,resnet50,128,0.01,200,32,adam,0.8
e5bb477c7d8cf644,resnet50,128,0.01,200,32,sgd,0.5
bd313c795ca1d2a0,resnet50,128,0.01,200,64,adam,0.5
1791719cb9b86a0f,resnet50,128,0.01,200,64,sgd,0.8
0345818cdb789b27,resnet50,128,0.01,300,16,adam,0.9
e9003f40f866a5f9,resnet50,128,0.01,300,16,sgd,0.8
7f5101a033a52517,resnet50,128,0.01,300,32,adam,0.8
377cfb4ebbeba92c,resnet50,128,0.01,300,32,sgd,0.9
750539c857f0049b,resnet50,128,0.01,300,64,adam,1.0
92f68a5aaa94428d,resnet50,128,0.01,300,64,sgd,0.8
e9006513d22946d1,resnet50,128,0.1,100,16,adam,0.5
5846455708b8e721,resnet50,128,0.1,100,16,sgd,0.8
c82bc7ee55254dba,resnet50,128,0.1,100,32,adam,1.0
ee858cf9a33fe221,resnet50,128,0.1,100,32,sgd,0.5
f9fbd54c00cbd783,resnet50,128,0.1,100,64,adam,1.0
c4e2324ac644725d,resnet50,128,0.1,100,64,sgd,0.6
8ee7f699337371fa,resnet50,128,0.1,200,16,adam,0.8
1706ae179a2fbc55,resnet50,128,0.1,200,16,sgd,0.6
12f543918a48377c,resnet50,128,0.1,200,32,adam,0.6
7f0b8de3e81f7b88,resnet50,128,0.1,200,32,sgd,0.6
c02e3bda63e1300f,resnet50,128,0.1,200,64,adam,0.7
3af0252790565334,resnet50,128,0.1,200,64,sgd,0.9
6b13e533099fcd1c,resnet50,128,0.1,300,16,adam,0.8
cf8c2df09ff74cc3,resnet50,128,0.1,300,16,sgd,0.6
fa5269003d9a34c0,resnet50,128,0.1,300,32,adam,1.0
46482ecd40ac26f2,resnet50,128,0.1,300,32,sgd,1.0
81952cab2512113f,resnet50,128,0.1,300,64,adam,0.9
918ce37aec446943,resnet50,128,0.1,300,64,sgd,0.8
89bb466ebf617c26,resnet50,256,0.001,100,16,adam,0.8
5708863ade20707e,resnet50,256,0.001,100,16,sgd,0.7
4b21f7ffa2ebe3d7,resnet50,256,0.001,100,32,adam,0.9
78b85e34e88345f4,resnet50,256,0.001,100,32,sgd,0.7
ab83708d29139448,resnet50,256,0.001,100,64,adam,0.9
f08746939bbb18cc,resnet50,256,0.001,100,64,sgd,0.5
9b1c8d8f0d21b7a0,resnet50,256,0.001,200,16,adam,1.0
7a54fc39b12d100e,resnet50,256,0.001,200,16,sgd,0.9
02158bfaa97d85a5,resnet50,256,0.001,200,32,adam,0.6
e00f21b6f6764a71,resnet50,256,0.001,200,32,sgd,0.9
c9a1b857cdeeeb63,resnet50,256,0.001,200,64,adam,0.9
a6d39a8421a380b1,resnet50,256,0.001,200,64,sgd,0.6
0b1779a54f6eaaf7,resnet50,256,0.001,300,16,adam,0.7
6c023f4c8e7275f6,resnet50,256,0.001,300,16,sgd,0.7
4fc31fa8cc19619e,resnet50,256,0.001,300,32,adam,0.9
0e281012ae8b1afb,resnet50,256,0.001,300,32,sgd,0.6
0ef19490820d705c,resnet50,256,0.001,300,64,adam,0.6
f22cab743b034955,resnet50,256,0.001,300,64,sgd,1.0
7f224d522b0e8e34,resnet50,256,0.01,100,16,adam,0.6
6019895e7fe39769,resnet50,256,0.01,100,16,sgd,1.0
8f1c8603d4c08c26,resnet50,256,0.01,100,32,adam,0.7
fa33c50333859719,resnet50,256,0.01,100,32,sgd,0.8
3fd703f6ccf182c7,resnet50,256,0.01,100,64,adam,0.7
b294a81f0f666cd0,resnet50,256,0.01,100,64,sgd,0.7
ec97e49d7c9800d2,resnet50,256,0.01,200,16,adam,0.9
8bfa2e77ff2020b5,resnet50,256,0.01,200,16,sgd,0.5
1b5fb5c8911c31a4,resnet50,256,0.01,200,32,adam,0.6
75df1e6723cc4815,resnet50,256,0.01,200,32,sgd,0.5
6d4292c1f96182b5,resnet50,256,0.01,200,64,adam,0.7
4f1f915bbf041cad,resnet50,256,0.01,200,64,sgd,0.7
b91cf57645b1f447,resnet50,256,0.01,300,16,adam,0.9
618dd9998f419c09,resnet50,256,0.01,300,16,sgd,0.7
f4e26041ecd8b83b,resnet50,256,0.01,300,32,adam,0.7
07455cb6eb8d5ea9,resnet50,256,0.01,300,32,sgd,0.7
8e252d7cc717548c,resnet50,256,0.01,300,64,adam,0.6
e6eb35cd756004c9,resnet50,256,0.01,300,64,sgd,1.0
0d34d156e6e38b22,resnet50,256,0.1,100,16,adam,0.6
0bcaf89a6e9ec42d,resnet50,256,0.1,100,16,sgd,0.7
4380c64fb8934f0e,resnet50,256,0.1,100,32,adam,0.6
f92e4bf117046395,resnet50,256,0.1,100,32,sgd,0.9
4e2401425d4fa092,resnet50,256,0.1,100,64,adam,0.8
c7839896ca70805c,resnet50,256,0.1,100,64,sgd,0.8
e60e8c403092e664,resnet50,256,0.1,200,16,adam,0.7
840fea3b06f6362e,resnet50,256,0.1,200,16,sgd,0.7
4411f4ed2db57f5b,resnet50,256,0.1,200,32,adam,1.0
d1930fa7c3a28b0f,resnet50,256,0.1,200,32,sgd,0.7
ff071085e5ff2428,resnet50,256,0.1,200,64,adam,0.9
e28a6c40657b664b,resnet50,256,0.1,200,64,sgd,0.9
b4a6645ecfca0061,resnet50,256,0.1,300,16,adam,0.8
5c19e4d533694133,resnet50,256,0.1,300,16,sgd,0.9
7e2fa8147ea0e26a,resnet50,256,0.1,300,32,adam,1.0
1433330ae713cb28,resnet50,256,0.1,300,32,sgd,0.7
d2123603cde603c9,resnet50,256,0.1,300,64,adam,0.6
3a72c25eae1e2005,resnet50,256,0.1,300,64,sgd,1.0
45dd5545ced6904c,resnet50,512,0.001,100,16,adam,0.7
d0f3ff93dfadddc0,resnet50,512,0.001,100,16,sgd,1.0
8ea4db4ef93198c4,resnet50,512,0.001,100,32,adam,0.7
d37309e337a5fd2c,resnet50,512,0.001,100,32,sgd,0.5
026e21169291796f,resnet50,512,0.001,100,64,adam,1.0
e38023fe927b35d9,resnet50,512,0.001,100,64,sgd,0.6
aded369637254cd5,resnet50,512,0.001,200,16,adam,0.6
99d8be7f446e46ac,resnet50,512,0.001,200,16,sgd,0.7
b721aa3c7535edc4,resnet50,512,0.001,200,32,adam,0.8
a20c8b8c4e731b76,resnet50,512,0.001,200,32,sgd,0.8
75c0a9c36bce68c0,resnet50,512,0.001,200,64,adam,0.8
2d394c92bc5371a4,resnet50,512,0.001,200,64,sgd,0.8
50cb0901d82beffa,resnet50,512,0.001,300,16,adam,0.5
dee50e557fd3b527,resnet50,512,0.001,300,16,sgd,0.8
1e7d75e07078275f,resnet50,512,0.001,300,32,adam,0.6
59ce3e02e06cac98,resnet50,512,0.001,300,32,sgd,0.8
6a1f39824f48dd97,resnet50,512,0.001,300,64,adam,0.7
8b2bbb80bf9df0c0,resnet50,512,0.001,300,64,sgd,1.0
a1951c6b3c0aa451,resnet50,512,0.01,100,16,adam,0.7
a0f87ee5309b1863,resnet50,512,0.01,100,16,sgd,0.7
12cf980f70458917,resnet50,512,0.01,100,32,adam,0.7
fde83ea2e49f13db,resnet50,512,0.01,100,32,sgd,0.7
f1a85c063f1a640b,resnet50,512,0.01,100,64,adam,0.5
e47baaa2fb256813,resnet50,512,0.01,100,64,sgd,0.7
09ff9697b62caae3,resnet50,512,0.01,200,16,adam,0.8
900d513ada5aae5e,resnet50,512,0.01,200,16,sgd,0.6
e1efed28ba4b32d3,resnet50,512,0.01,200,32,adam,1.0
ead0e1f7e023a4e2,resnet50,512,0.01,200,32,sgd,1.0
a246329a5bca3739,resnet50,512,0.01,200,64,adam,0.7
5d51247aa58cef8f,resnet50,512,0.01,200,64,sgd,0.6
31084ca755ad73cd,resnet50,512,0.01,300,16,adam,0.9
0b1b4ac16a19ac24,resnet50,512,0.01,300,16,sgd,0.9
e6a9934b3faa50ce,resnet50,512,0.01,300,32,adam,0.9
dce074e3f97077f9,resnet50,512,0.01,300,32,sgd,0.6
b11410410362c8e6,resnet50,512,0.01,300,64,adam,0.6
de076db3cbe02d69,resnet50,512,0.01,300,64,sgd,0.7
0421eeca880740a1,resnet50,512,0.1,100,16,adam,0.8
bb1d1b50fc32a52e,resnet50,512,0.1,100,16,sgd,0.6
267f78d56d7432c0,resnet50,512,0.1,100,32,adam,0.6
23f158b0a22b0837,resnet50,512,0.1,100,32,sgd,0.7
7c9930675b847c44,resnet50,512,0.1,100,64,adam,0.6
0155cb0529d102a0,resnet50,512,0.1,100,64,sgd,0.8
d5446e7f803b1b04,resnet50,512,0.1,200,16,adam,0.7
69664d97f89f5cbf,resnet50,512,0.1,200,16,sgd,0.9
e723dfb568d550a2,resnet50,512,0.1,200,32,adam,0.7
0b268f1188e9fdee,resnet50,512,0.1,200,32,sgd,0.9
df05ab7eb65f53eb,resnet50,512,0.1,200,64,adam,0.6
f902855ac98dcdfc,resnet50,512,0.1,200,64,sgd,0.7
0b8f63c694babdde,resnet50,512,0.1,300,16,adam,0.9
f081f69259a174b8,resnet50,512,0.1,300,16,sgd,1.0
a0989a27fa7b84da,resnet50,512,0.1,300,32,adam,0.6
5d09be3762f87f9d,resnet50,512,0.1,300,32,sgd,0.8
414568ad8d018bc0,resnet50,512,0.1,300,64,adam,0.6
8f15a9beddc1edbc,resnet50,512,0.1,300,64,sgd,0.6
db497b5d1095b48d,vgg16,128,0.001,100,16,adam,1.0
7157f3b5109d3c48,vgg16,128,0.001,100,16,sgd,0.6
b4ed4d1df852cb5d,vgg16,128,0.001,100,32,adam,0.7
4450f44a5b72c542,vgg16,128,0.001,100,32,sgd,0.6
cfb764976977277c,vgg16,128,0.001,100,64,adam,0.6
3076d505538248f8,vgg16,128,0.001,100,64,sgd,0.5
8477d735eb4fd7cb,vgg16,128,0.001,200,16,adam,0.7
b056247ebe56763e,vgg16,128,0.001,200,16,sgd,1.0
503da17c97ed2a43,vgg16,128,0.001,200,32,adam,0.6
cd8efd9fa446d6ec,vgg16,128,0.001,200,32,sgd,0.9
209785e5fca0b33c,vgg16,128,0.001,200,64,adam,0.6
f4d7a5d36b036342,vgg16,128,0.001,200,64,sgd,0.7
c0e1712d75aac941,vgg16,128,0.001,300,16,adam,0.5
da77ff2b710d8d50,vgg16,128,0.001,300,16,sgd,0.9
482dad138544a6ea,vgg16,128,0.001,300,32,adam,0.8
b66c2a99b3a29004,vgg16,128,0.001,300,32,sgd,0.9
0d2e4b43f973f754,vgg16,128,0.001,300,64,adam,1.0
ff387ad8944f167d,vgg16,128,0.001,300,64,sgd,0.6
7a8b49644acbb0b3,vgg16,128,0.01,100,16,adam,0.8
8887b51cf96e326d,vgg16,128,0.01,100,16,sgd,0.7
1152b0542e2a393a,vgg16,128,0.01,100,32,adam,0.6
1471531001139abb,vgg16,128,0.01,100,32,sgd,0.8
83c0f5887fd154cd,vgg16,128,0.01,100,64,adam,0.7
f2c0ad8a757336df,vgg16,128,0.01,100,64,sgd,0.7
c844212aee25e876,vgg16,128,0.01,200,16,adam,0.7
2258d180d4e94f42,vgg16,128,0.01,200,16,sgd,0.9
0151d687542d4928,vgg16,128,0.01,200,32,adam,0.7
f321ef6983fa9fb5,vgg16,128,0.01,200,32,sgd,0.7
dc2ffad91de93569,vgg16,128,0.01,200,64,adam,0.9
22fc65f681bc6f4d,vgg16,128,0.01,200,64,sgd,0.9
45205fbc159fed14,vgg16,128,0.01,300,16,adam,0.8
64ffc73d05d8aadd,vgg16,128,0.01,300,16,sgd,0.6
1fed486753885b82,vgg16,128,0.01,300,32,adam,0.5
76fc560f3592c0f8,vgg16,128,0.01,300,32,sgd,0.9
730b16991780c813,vgg16,128,0.01,300,64,adam,0.8
0f5a925f052dd339,vgg16,128,0.01,300,64,sgd,0.9
61fee0997ae338b4,vgg16,128,0.1,100,16,adam,0.9
8de2024d6784770e,vgg16,128,0.1,100,16,sgd,0.8
8740b6fda0c13f9d,vgg16,128,0.1,100,32,adam,0.9
62c1110102485094,vgg16,128,0.1,100,32,sgd,0.9
8a1d8270c66399cc,vgg16,128,0.1,100,64,adam,0.9
c1da318722442e05,vgg16,128,0.1,100,64,sgd,0.6
3e42b1b625f390c8,vgg16,128,0.1,200,16,adam,0.5
8c8b73c775d31613,vgg16,128,0.1,200,16,sgd,0.7
f60b86bed30be8bf,vgg16,128,0.1,200,32,adam,0.9
0ade56b29be1f567,vgg16,128,0.1,200,32,sgd,0.6
f6b6d2110d8e0760,vgg16,128,0.1,200,64,adam,0.8
4aa6a08477bc2248,vgg16,128,0.1,200,64,sgd,0.7
a93764f768ae9a3c,vgg16,128,0.1,300,16,adam,0.7
fed0956a7f9c12a4,vgg16,128,0.1,300,16,sgd,0.6
61622b5a035c4167,vgg16,128,0.1,300,32,adam,1.0
78c3a115a73ede8e,vgg16,128,0.1,300,32,sgd,0.5
727a1bd5a1f34ecc,vgg16,128,0.1,300,64,adam,0.8
8b806ec4b360e262,vgg16,128,0.1,300,64,sgd,0.5
63901739379080ce,vgg16,256,0.001,100,16,adam,1.0
a97820110196c776,vgg16,256,0.001,100,16,sgd,0.9
7e470f1dfca1d1e3,vgg16,256,0.001,100,32,adam,0.6
6a853664c772dd12,vgg16,256,0.001,100,32,sgd,1.0
